det287207Tep00000000000060788492|1|op000004|productIDa0000000000000000219659|看大片5元单片订购|itemc020140627892060000002859039|环太平洋-国语版|sztc10843571|500|2014.07.13 00:04:14|1
det861121Tep00000000000060788511|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|yza3008259159|700|2014.07.13 00:04:14|1
det942564Sub00000000000060788392|1|spa00081|productIDa3000000000000000218365|教育路通果果乐园29元包月|||0512200628728|2900|2014.07.13 00:04:17|1
det473144Tep00000000000060788517|1|op000004|productIDa0000000000000000216694|抢鲜看4元单片订购|itemc020140611142891000002819642|闪魂-国语版|051983445080|400|2014.07.13 00:04:18|1
det261063Sub00000000000060788394|1|spa00081|productIDa3000000000000000218365|教育路通果果乐园29元包月|||0512200747950|2900|2014.07.13 00:04:19|1
det267283Tep00000000000060788457|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|0514200246084|700|2014.07.13 00:04:23|1
det446864Sub00000000000060788386|1|spa00105|productIDa0000000000000000219622|看大片20元包月|||sza852822|2000|2014.07.13 00:04:25|1
det690242Tep00000000000060788504|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020130909058807000002166452|赛车总动员2【国】|0516200880408|300|2014.07.13 00:04:28|1
det833848Tep00000000000060788506|1|op000004|productIDa0000000000000000219153|邪恶力量第四季-原声版|itemc020140222229737000002564355|邪恶力量第四季-原声版|0513200255745|600|2014.07.13 00:04:28|1
det462358Tep00000000000060788524|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020131008069029000002227953|变形金刚3【国】|025201021835|300|2014.07.13 00:04:31|1
det548684Tep00000000000060788424|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020131204090948000002371687|超凡蜘蛛侠-原声版|0512200271875|300|2014.07.13 00:04:34|5
det972226Tep00000000000060788516|1|op000006|productIDa0000000000000000217039|热剧整部4元订购|itemc020140708073653000002881400|战长沙|0514200442948|400|2014.07.13 00:04:37|1
det386157Tep00000000000060788529|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|800|2014.07.13 00:04:37|1
det617907Tep00000000000060788497|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140604843546000002803399|美女也烦恼-原声|0511200540789|300|2014.07.13 00:04:42|1
det753008Tep00000000000060788509|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140624388770000002851151|突袭-原声|0512200836819|300|2014.07.13 00:04:42|1
det536110Tep00000000000060788425|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|yca4237189|700|2014.07.13 00:04:46|5
det379824Tep00000000000060788510|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140610366074000002816186|波斯王子：时之刃-原声|0512201521794|300|2014.07.13 00:04:46|1
det346042Tep00000000000060788471|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|sza628413|700|2014.07.13 00:04:47|1
det349700Tep00000000000060788426|1|op000006|productIDa0000000000000000217247|抢鲜看单片7元订购|itemc020140710778286000002888284|窃听风云3-国语|0512201391263|700|2014.07.13 00:04:48|5
det646636Tep00000000000060788449|1|op000006|productIDa0000000000000000217247|抢鲜看单片7元订购|itemc020140416159592000002688922|澳门风云-国语|0513200665295|700|2014.07.13 00:04:49|1
det357348Tep00000000000060788427|1|op000006|productIDa0000000000000000217184|看大片单片2元订购|itemc020140603925612000002800578|原罪-原声|025201244204|200|2014.07.13 00:04:51|5
det524777Tep00000000000060788549|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|500|2014.07.13 00:04:51|1
det337165Tep00000000000060788428|1|op000006|productIDa0000000000000000217037|抢鲜看单片6元订购|itemc020140528204056000002788051|家园防线-原声|0527200495416|600|2014.07.13 00:04:55|5
det851834Tep00000000000060788531|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|1000|2014.07.13 00:05:05|1
det232760Tep00000000000060788458|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140224215226000002568855|毒蛇-原声|0517200488560|300|2014.07.13 00:05:07|1
det104188Tep00000000000060788430|1|op000004|productID10000000000000000211541|抢鲜看6元单片订购|itemc020140122881887000002494595|四大名捕2-国语版|wx9751036|600|2014.07.13 00:05:18|5
det716282Tep00000000000060788429|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|02558719345|700|2014.07.13 00:05:19|5
det072423Tep00000000000060788453|1|op000004|productIDa0000000000000000219659|看大片5元单片订购|itemc020140711021668000002890701|致命英雄-原声版|yca5288615|500|2014.07.13 00:05:25|1
det240559Tep00000000000060788473|1|op000006|productIDa0000000000000000217038|热剧整部3元订购|itemc020140411162567000002676485|爱情公寓4|025201324489|300|2014.07.13 00:05:38|1
det489636Tep00000000000060788515|1|op000004|productID10000000000000000211269|抢鲜看5元单片订购|itemc020140704112460000002875404|非狐外传-国语版|0514200234276|500|2014.07.13 00:05:50|1
det363210Tep00000000000060788530|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|500|2014.07.13 00:05:54|1
det994464Tep00000000000060788470|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020140327160031000002643461|温柔杀戮new-原声版|0512200287522|300|2014.07.13 00:05:56|1
det438429Tep00000000000060788455|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020120503150260000001010265|金刚|0512201481203|300|2014.07.13 00:06:05|1
det212000Tep00000000000060788459|1|op000004|productID10000000000000000211269|抢鲜看5元单片订购|itemc020140529780609000002790946|家园防线-原声版|0512200653995|500|2014.07.13 00:06:07|1
det798043Tep00000000000060788481|1|spa00085|productIDa0000000000000000219385|喜羊羊与灰太狼之牛气冲天-国语版|itemc020140424385667000002707152|喜羊羊与灰太狼之牛气冲天-国语版|0510200126550|500|2014.07.13 00:06:10|1
det396843Tep00000000000060788488|1|spa00085|productIDa0000000000000000218230|大力士-中文版|itemc020130628925843000001976699|大力士-国语版|ntkd88313877|500|2014.07.13 00:06:12|1
det773829Tep00000000000060788431|1|op000004|productIDa0000000000000000219740|谋杀第一季-原声版|itemc020140710317880000002887354|谋杀第一季-原声版|0511200556832|600|2014.07.13 00:06:18|5
det422252Tep00000000000060788499|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|051086231655|700|2014.07.13 00:06:21|1
det446067Tep00000000000060788491|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140603356406000002800582|残虐你，娱乐我-原声|0511200419019|300|2014.07.13 00:06:24|1
det762315Tep00000000000060788513|1|op000006|productIDa0000000000000000217040|热剧整部5元订购|itemc020140624101406000002850559|相爱十年（陆续更新）|0518200522487|500|2014.07.13 00:06:24|1
det232822Tep00000000000060788465|1|op000006|productIDa0000000000000000217039|热剧整部4元订购|itemc020140708073653000002881400|战长沙|0519200442212|400|2014.07.13 00:06:33|1
det803666Tep00000000000060788432|1|op000004|productID10000000000000000211269|抢鲜看5元单片订购|itemc020140704112460000002875404|非狐外传-国语版|025200243265|500|2014.07.13 00:06:34|5
det846284Tep00000000000060788550|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|800|2014.07.13 00:06:43|1
det080678Tep00000000000060788452|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020140620804124000002843229|蜂鸟特攻-原声版|0516200822831|300|2014.07.13 00:06:45|1
det174381Tep00000000000060788433|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020130614285667000001939256|冒牌天神-原声版|0510200291767|300|2014.07.13 00:06:45|5
det488693Tep00000000000060788495|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020130906720870000002159499|血腥钻石NEW-中文版|yca82505860|300|2014.07.13 00:06:48|1
det823056Tep00000000000060788505|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140620274136000002841640|归来-国语版|0510200240907|700|2014.07.13 00:07:01|1
det244902Tep00000000000060788434|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140708872227000002882381|皇室风流史-原声|0517200361831|300|2014.07.13 00:07:03|5
det560480Tep00000000000060788435|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140610575181000002816187|赤警威龙-原声|0512200907995|300|2014.07.13 00:07:06|5
det219120Tep00000000000060788436|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140113977095000002472808|光速侠-原声|0517200547403|300|2014.07.13 00:07:07|5
det088022Tep00000000000060788498|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140701934640000002867476|变形金刚2：复仇之战-原声|051788652806|300|2014.07.13 00:07:08|1
det307450Tep00000000000060788469|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020140102253351000002444905|杀死比尔-原声版|051483430919|300|2014.07.13 00:07:09|1
det012722Tep00000000000060788537|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|500|2014.07.13 00:07:10|1
det533385Tep00000000000060788542|1|spa00022|productIDa3000000000000000216874|游戏频道掌世界元宝1元||null|0513200585429|100|2014.07.13 00:07:10|1
det609570Tep00000000000060788437|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|0519200245826|700|2014.07.13 00:07:11|5
det529383Tep00000000000060788538|1|spa00022|productIDa3000000000000000216874|游戏频道掌世界元宝1元||null|0515200195927|100|2014.07.13 00:07:11|1
det651383Tep00000000000060788438|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|njkd107219023|700|2014.07.13 00:07:12|5
det062031Tep00000000000060788496|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|051381188895|700|2014.07.13 00:07:14|1
det806008Tep00000000000060788460|1|op000006|productIDa0000000000000000217036|抢鲜看单片5元订购|itemc020140708981019000002881437|“封”门村-国语|0523200611536|500|2014.07.13 00:07:15|1
