12|0523200679253|分手大师-国语|5
12|0523200622499|霍比特人2：史矛革之战-国语|1
5|0512200765600|超凡蜘蛛侠-原声|1
2|0510200226463|终结者2018NEW-中文版|5
4|0519200459452||1
12|0523200590051|绿灯侠【英】|1
2|051083033888|速度与激情5-原声版|5
13|0527200309829|null|1
2|0510200261999||1
2|0510200319295|神偷奶爸-国语|1
9|0515200408032|美国队长【国】|1
4|0519200342924|潜伏2-原声版|1
2|0510200078578|魔幻仙踪-国语版|1
6|nta3508834|重回昨日第一季-原声版|5
2|0510200041678|赛尔号4圣魔之战-国语版|1
1|025201295793|喜羊羊与灰太狼之虎虎生威|1
6|051387292588|洛克王国3圣龙的守护-国语版|1
8|0517200415233||1
3|0516200222370|神偷奶爸2-国语|1
5|051253998821|分手大师-国语版|1
4|051987928444|全能米老鼠-原声版|5
2|0510200112470||1
4|0519200520713|复仇者联盟【国】|1
12|0523200201644||5
12|0523200435752|非常人贩1【国】|1
11|0511200395307|点金胜手下部【国】（跟播）|1
4|0519200459452|蜡笔小新剧场版搞怪游乐园大冒险【国】|1
5|18913085803|疯狂72小时-国语版|5
11|0511200205328|极品飞车-原声|1
1|njkd107523020||5
12|052387094388|忠奸人上部【国】（跟播）|1
1|025200467443|终结者2018NEW-中文版|5
7|0518200192002|斯巴达300勇士-国语版|5
4|0519200386862||1
9|0515200010167|柯南真人版新一的挑战-原声版|1
12|0523200694034|异星战场-原声|1
1|025201179368|爱寻迷-国语|1
4|0519200487833|继承者们|5
9|051589217356|催眠大师-国语|5
1|025201202203|金玉良缘（陆续更新）|1
4|0519200566338|null|1
12|0523200177007|一号目标-国语版|5
6|0513200575660|神秘世界历险记|1
11|0511200332671|神偷奶爸2-国语|1
4|0519200522901|新樱桃小丸子2|1
6|0513200659693|小羊肖恩2|1
1|025200942243|求爱嫁期-国语|1
4|czv7692957|催眠大师-国语|5
1|025200195161||1
5|0512201472953|赛罗奥特曼外传钢铁的宇宙|1
4|0519200522901|新樱桃小丸子1|1
5|0512200267376||1
5|0512200683659|精英部队2-原声版new|5
8|0517200457338|美国队长【国】|1
5|0512200499727|一号目标-国语版|5
10|0514200295241|分手大师-国语版|1
1|025200500989|神探夏洛克第一季|5
1|025200195161||1
5|0512200887503|蜂鸟特攻-原声|1
5|051253829819|制胜一击-原声版|1
9|0515200058161|赛尔号4圣魔之战-国语版|1
1|025201335276|分手大师-国语|1
11|0511200315854|谜情公寓-原声|1
5|0512201472953|赛罗奥特曼外传流星的誓言|1
12|0523200653418|“封”门村-国语|1
1|025201130178|分手大师-国语版|5
8|0517200562796|寒山潜龙下部【国】（跟播）|1
10|0514200719961|变形金刚3【国】|1
8|0517200514081|恐鳄大战超级食人鳄-原声|1
4|0519200861211|魔弹王上部|1
9|0515200409763|美国骗局-原声|1
2|0510200149212|同桌的你-国语版|5
3|0516200686733|恐鳄大战超级食人鳄-原声|5
2|0510200629353|美国队长【国】|5
4|0519200405766|猩球崛起-原声|1
1|025201193229|载得有情人【国】（跟播）|1
3|0516200661299|一见不钟情（陆续更新）|1
12|0523200482247|来自星星的你|5
5|0512200468410|终结者2018NEW-原声版|5
11|051186222776|驯龙高手-国语版|1
5|0512200842972|大寒桃花开-国语|1
2|051083557085||1
4|0519200159395|蜂鸟特攻-原声版|5
5|051267071618|孤胆保镖-国语版|1
2|051083033888|赌王之王-原声版|5
3|051687526788|开心超人2启源星之战-国语版|1
2|0510200498863|冰封重生之门new-国语版|5
9|0515200542069|喜羊羊与灰太狼之虎虎生威|1
3|0516200828431|分手大师-国语|5
12|0523200275332|洛克王国3圣龙的守护-国语版|1
5|051250390061|非常人贩3【国】|5
5|051252845769|生化危机|5
1|025200645170|柯南真人版4京都杀人事件-原声版|1
5|0512201286102|暴力街区-原声|1
6|0513200203142|分手大师-国语版|5
13|0527200264212|疤面鬼煞手-原声|1
10|051488256828|一号目标-国语版|5
12|0523200178322|皇室风流史-原声|1
2|0510200241048|笔仙3-国语版|1
10|0514200641766|地心引力-原声版|5
10|0514200692183||5
3|051685586006|鬼影实录4-原声版|1
7|0518200607582||1
10|0514200291106|分手大师-国语版|1
12|0523200637321|哆啦A梦之大雄与白金迷宫-原声版|5
2|0510200204688|洛克王国3圣龙的守护-国语版|1
4|0519200159395|哥斯拉1998版-国语版|1
5|0512200998528|忠奸人下部【国】（跟播）|1
3|0516201112116|笔仙惊魂3|1
5|0512201472953|功夫熊猫2|1
5|0512201249645|赤警威龙-原声|1
11|0511200186375||1
2|0510200192424|女巫猎人-原声版|1
1|025200456526|终结者2018NEW-中文版|5
5|0512200919548|三天（危情三日）|5
12|0523200434254|丑男大翻身-国语|1
6|0513200111761||5
7|0518200370351|神秘世界历险记|1
1|025200435271||1
1|025200369971|美国骗局-原声版|5
1|02585567191|速度与激情6-原声版|5
6|0513200352332|null|1
5|0512201472953|绿灯侠：翡翠骑士【英】|1
2|0510200664580|分手大师-国语|1
3|0516200977477|美国队长【国】|5
11|0511200488121|分手大师-国语|1
10|0514200672967|爱情公寓4|1
4|0519200197565|对抗性游戏-中文版|5
5|051253238493|HD-一号目标-国语版|5
9|0515200356271|三天（危情三日）|1
12|0523200575288|敢死队2【国】|1
4|0519200624309|复仇者联盟【国】|5
9|0515200451393|分手大师-国语|5
1|025200540150||1
5|051250161622|地心引力-原声版|5
5|0512200280421|我的播音系女友-国语版|5
2|0510200029359|null|5
5|0512201418668|死亡飞车【英】|5
4|0519200802085|分手大师-国语|1
12|052387262626|超级经纪人|5
5|0512200284214|蜡笔小新剧场版风起云涌！壮烈！战国大会战【国】|1
2|0510200029359|null|5
9|0515200683826|巨人捕手杰克-国语|1
1|02587793256||1
2|0510200029359|null|5
5|0512200406141||1
10|0514200148815|空中危机-原声版|5
11|0511200246207|绿巨人2【国】|5
5|051253829819|特种神枪手-原声版|5
10|0514200438940|来自星星的你|1
10|0514200243424|赤警威龙-原声版|1
11|0511200533709|十二罗汉-国语|1
2|051088717667||5
4|0519200195349||1
12|0523200301991|蜂鸟特攻-原声|1
3|0516201112116|步步追魂-国语|1
3|0516200791255|海绵宝宝4|1
11|051185084209|一号目标-国语版|1
5|18913558642|终结者2018NEW-原声版|5
1|025200723387|分手大师-国语|5
5|0512200470691|四十七浪人-原声版|1
4|0519200864500||1
2|0510200766813|反恐特警组：火速救援-原声|1
1|025200842896|冰雪奇缘-原声|5
4|0519200782677|null|1
11|0511200172214||1
2|0510200500867|催眠大师-国语|1
4|051989186245|null|1
8|0517200510535||1
1|025200693229|一见不钟情（陆续更新）|5
4|0519200157968|驯龙骑士-国语版|1
4|051989186245|null|1
4|0519200182617||1
11|051186845099|铁线虫入侵-原声|1
5|0512200758364|敢死队2【国】|1
3|0516200814168|谜情公寓-原声|1
8|0517200532557|钢铁侠2【国】|5
1|025201357767|我的美丽王国-国语|5
6|0513200262784|铁血娇娃|5
1|025200885143|载得有情人【国】（跟播）|1
10|051487951092|地心引力-原声版|5
9|0515200377391|海绵宝宝3|1
1|025200331339|一号目标-国语版|5
6|nta5590519|一号目标-国语版|5
1|025200133493|夺宝奇兵3圣杯奇兵-国语版|5
6|0513200278788|环太平洋【国】|5
4|0519200782677|null|1
13|0527200477864|催眠大师-国语|5
