5|0512201437827|300勇士：帝国崛起-原声|5
9|051585922180||1
2|0510200632079|巴啦啦小魔仙大电影|1
1|025201300135|异星战场-原声|5
12|0523200569393|null|1
1|025200883295|史前一万年-原声|5
2|wx10146325|赛尔号2雷伊与迈尔斯-国语版new|1
10|0514200268826|柯南真人版4京都杀人事件-原声版|1
13|0527200134867|null|1
10|0514200470950|喜羊羊与灰太狼3兔年顶呱呱|5
4|czz2892848|雪国列车-原声版|5
13|0527200134867|null|1
6|051388366419||5
1|025200144059|分手大师-国语版|5
11|0511200539987|疯狂72小时-国语版|1
2|0510200228330|突袭-原声|1
12|0523200676186|假如幸福来临（陆续更新）|1
6|0513200424001|异星战场-原声|5
6|0513200015580|澳门风云-国语版|1
7|0518200423705|速度与激情4|5
2|0510200276214|洛克王国3圣龙的守护-国语版|1
6|0513200516979|异星战场-原声|5
3|0516200832199|毒蛇-原声|5
3|0516200190428|突袭本拉登-原声版|1
4|0519200738131|巴啦啦小魔仙大电影|5
4|0519200577903|阿芝台克暴龙-原声|1
9|0515200324638|分手大师-国语版|1
5|051250119975||1
9|051589198518|蜡笔小新之搞怪游乐园大冒险-国语版|1
5|0512201382160|绿巨人2【国】|1
1|025200058201|荒野大飚客-原声版|5
8|051784621669|收获的季节（陆续更新）|5
1|b00401018|空中危机-原声版|1
12|0523200611830|虐面人之死灵面膜-国语|5
12|0523200436447|美国队长【国】|5
4|0519200879018|爱情公寓4|1
2|0510200653314|蜡笔小新之黄金间谍大作战-国语版|1
4|0519200388343|HD-一号目标-国语版|1
13|0527200452648|小熊维尼【国】|1
3|051683263632|异度见鬼-原声版|5
5|0512200966275|叛逃【国】（跟播）|5
9|0515200337519|美国骗局-原声|5
4|0519200708569|结婚前规则（陆续更新）|1
10|0514200695782|分手大师-国语|1
2|0510200098459|雪国列车-原声版|1
8|0517200497411|最佳嫌疑人-国语|1
1|02552149768|分手大师-国语版|5
1|025201286555|null|1
2|0510200568962|毒蛇-原声|5
10|0514200637529|心咒-国语版|1
2|wx10246981|驯龙高手-国语版|1
6|051382206220||5
3|051683379251|分手大师-国语版|5
3|0516200722972|铁线虫入侵-原声|1
1|025200730236|分手大师-国语|1
8|0517200629644|一见不钟情（陆续更新）|1
1|025201286555|null|1
10|0514200365315|新济公活佛上部（陆续更新）|1
10|0514200636470|环太平洋-国语版|1
1|njkd107774681|分手大师-国语版|5
7|0518200574982|超凡蜘蛛侠-原声|1
1|025200932618|美国骗局-原声|5
5|051253650019|威震八方-原声|1
11|0511200517202|寒山潜龙上部【国】（跟播）|1
1|025200251781||1
11|051188203122|环太平洋-国语版|5
5|0512201156429|美国骗局-原声|5
6|051387773066|变形金刚2-原声版new|1
2|0510200626438|分手大师-国语版|1
1|025200881732|笔仙3-国语|1
4|0519200815733|催眠大师-国语|1
13|0527200188047|分手大师-国语版|1
7|0518200290463|猪猪侠之??危机|5
12|0523200143205|催眠大师-国语版|1
9|0515200195675|最佳嫌疑人-国语版|5
6|0513200558329|赛尔号2：雷伊与迈尔斯|1
4|0519200864500|收获的季节（陆续更新）|1
3|0516200485949|分手大师-国语|5
5|0512200011325|玩尽杀绝4-原声版|5
2|0510200449257|后备空姐-国语|5
4|051989627837|猫和老鼠兼职朋友-国语版|1
1|025201022289|超决战！贝利亚银河帝国-国语|1
5|0512200360212|驯龙高手-国语版|1
1|025200504842|地心引力-原声版|5
5|051266655819||1
6|0513200503477|蜡笔小新剧场版时空大冒险【国】|1
11|0511200224118||1
5|0512201260522|赛尔号2：雷伊与迈尔斯|5
2|0510200305288|玩尽杀绝4-原声版|1
4|0519200399100|小羊肖恩3|1
5|0512201506889|新济公活佛上部（陆续更新）|5
10|0514200490356|一见不钟情（陆续更新）|1
2|0510200451034|神秘世界历险记|1
1|025200901313|一见不钟情（陆续更新）|5
12|052386815398|神奇燕尾服-原声版|1
2|wx9384382|分手大师-国语版|5
3|0516201111393|催眠大师-国语|1
2|0510200456524|异种2：肝胆俱裂-原声|1
2|0510200174961|分手大师-国语版|1
1|02557150765|分手大师-国语版|1
11|zjkdjra3144|菲利普斯船长-原声版|1
4|0519200157616|null|1
3|0516200925488|美眉校探-原声|1
4|0519200157616|null|1
1|025201170718|巴啦啦小魔仙大电影|5
2|0510200445439|柯南真人版1对决黑暗组织-国语版|5
2|wx9058739|美国骗局-原声|5
4|0519200157616|null|1
2|wx9130503|HD-黑帮追缉令-原声版|1
5|0512200778753|毒蛇-原声|1
11|0511200414186|分手大师-国语|1
9|0515200730433|null|1
